recipe_ingredient_id,ingredient_id,recipe_id,quantity
1,1,1,75g 3/4모
2,2,1,20g 5마리
3,3,1,30g 1/2개
4,4,1,13g 1큰술
5,5,1,5g 1작은술
6,6,1,5g 1작은술
7,7,1,10g 3줄기
8,8,2,50g
9,9,2,7g 1⅓작은술
10,10,2,저염간장 3g 2/3작은술
11,11,2,5g 1작은술
12,12,2,2g 1/2쪽
13,13,2,2g 1/3작은술
14,14,2,2g 1/3작은술
15,15,2,2g 1/3작은술
16,16,2,약간
17,17,3,150g 5개
18,18,3,10g 3×1cm
19,19,3,10g 5줄기
20,13,3,4g 1작은술
21,20,3,3g 2/3작은술
22,12,3,2.5g 1/2쪽
23,21,3,2g 1/3작은술
24,5,3,2g 1/3작은술
25,22,3,2ml 1/3작은술
26,23,3,약간
27,24,4,70g 1/3개
28,25,4,10g 1큰술
29,26,4,50g 1/3개
30,27,4,40g
31,28,5,25g 15개
32,29,5,10g 3마리
33,26,5,30g 1/5개
34,18,5,40g 1/4개
35,30,5,20g 2장
36,22,5,300ml 1½컵
37,31,6,15g 10개
38,32,6,30g 1/6봉지
39,33,6,30g 5×3×2cm
40,34,6,10g 2작은술
41,22,6,300ml 1½컵
42,35,6,5g 1/2개
43,12,6,2g 1/3작은술
44,36,7,20g 2×2×2cm
45,37,7,20g 4가닥
46,38,7,10g 4×3×1cm
47,18,7,10g 2×1cm
48,11,7,10g 5cm
49,34,7,5g 1작은술
50,22,7,300ml 1½컵
51,39,8,5g 3마리
52,40,8,1장 5×1cm
53,18,8,10g 2×1cm
54,41,8,5g
55,42,8,5g 1작은술
56,22,8,300ml 1½컵
57,30,8,20g 2장
58,12,8,2g 1/3작은술
59,43,8,20g 1개
60,44,9,30g 10줄기
61,45,9,15g 5×3cm
62,18,9,10g 2×1cm
63,46,9,5g 3×1×1cm
64,47,9,5g 1작은술
65,5,9,5g 1작은술
66,12,9,5g 1쪽
67,48,9,10g 2작은술
68,49,10,70g 7개
69,50,10,85g 1개
70,51,10,70g 2장
71,52,10,30g 3개
72,53,10,15g 1큰술
73,47,10,약간
74,54,10,약간
75,38,11,80g 1/2개
76,55,11,5g 1작은술
77,56,11,2g 1알
78,5,11,2g 1/3작은술
79,57,11,3g
80,7,11,10g
81,58,11,10g 2작은술
82,44,11,약간
83,59,12,70g 7개
84,48,12,10g 2작은술
85,18,12,10g 2작은술
86,60,12,10g 2작은술
87,48,12,2g 1/3작은술
88,47,12,5g 1작은술
89,61,12,3g 2/3작은술
90,62,12,3g 2/3작은술
91,63,12,2g 1/3작은술
92,64,12,약간
93,44,12,10g 3줄기
94,1,12,30g 1/4모
95,65,13,20g 3cm
96,66,13,50g 1/3개
97,59,13,15g 3개
98,18,13,15g 1/8개
99,67,13,15g 1큰술
100,68,13,3g 3×1cm
101,69,13,3g 3×1cm
102,70,13,3g 3×1cm
103,71,13,5g 1작은술
104,47,13,15g 1큰술
105,5,13,10g 1큰술
106,61,13,5g 1작은술
107,48,13,약간
108,72,14,40g 1/5송이
109,73,14,40g 1/3송이
110,74,14,10g 2×1cm
111,75,14,5g 1작은술
112,76,14,5알
113,77,14,1/2알
114,54,14,약간
115,50,14,20g 1⅓큰술
116,61,14,5g 1작은술
117,5,14,약간
118,78,14,50g 3⅓큰술
119,46,15,100g 1/2개
120,79,15,100g 1/2개
121,80,16,160g
122,54,16,4g 1작은술
123,47,16,8g 1/2작은술
124,56,16,4g 1작은술
125,81,16,4g 1작은술
126,77,16,4g 1작은술
127,82,16,4g 1작은술
128,24,16,20g 1/4개
129,83,16,200g 1/2개
130,84,16,4g 1작은술
131,85,17,440g
132,86,17,70g
133,87,17,6g 1작은술
134,77,17,6g 1알
135,88,17,50g 1/2개
136,3,17,50g 1개
137,24,17,20g 1/8개
138,89,18,4g 2장
139,72,18,100g 1/4개
140,90,18,100g
141,30,18,20g 2개
142,91,18,가슴살 100g
143,15,18,2g 1/2작은술
144,92,18,4g 1작은술
145,54,18,0.5g
146,93,18,0.1g
147,80,19,50g
148,94,19,25g 1/2개
149,40,19,17g 15cm
150,95,19,140g 1/2개
151,18,19,150g 1/2개
152,33,19,250g 1/3개
153,96,19,150g 3/4컵
154,97,19,35g
155,92,19,30g 2큰술
156,98,19,20g 1개
157,99,19,2g
158,3,19,50g 1개
159,36,20,320g 1모
160,100,20,300g 1½컵
161,101,20,100g
162,102,20,140g
163,34,20,20g 1½큰술
164,35,20,10g 1/2개
165,103,20,5g 1/4개
166,11,20,10g 2cm
167,13,20,5g 1작은술
168,40,21,1g
169,36,21,10g
170,104,21,10g
171,105,21,10g
172,12,21,5g
173,33,21,20g
174,102,21,15g
175,106,21,10g 1/2개
176,107,21,5g 1작은술
177,18,21,5g
178,34,21,15g 1큰술
179,108,21,5g
180,11,21,5g
181,35,21,5g
182,103,21,1g
183,38,22,100g 1개
184,109,22,150g 1/2개
185,46,22,15g 1/10개
186,36,22,20g 1/20모
187,101,22,30g
188,35,22,5g 1개
189,110,22,45g 3큰술
190,3,22,60g 1개
191,111,22,15g 1큰술
192,92,22,2g 1/2작은술
193,47,22,10g 2작은술
194,112,22,15g 1큰술
195,113,23,90g
196,59,23,60g 7개
197,15,23,약간
198,61,23,20g 1⅓큰술
199,35,23,5g 1/2개
200,103,23,5g 1/2개
201,114,23,10g 2작은술
202,115,24,70g 1/10개
203,116,24,10g 2작은술
204,54,24,5g 1/2작은술
205,117,24,10g
206,118,24,10g 1개
207,12,24,5g 1작은술
208,119,24,5g 1작은술
209,120,24,15g 1큰술
210,33,24,10g 3cm
211,121,25,
212,122,25,10g 1/10개
213,123,25,10g 1/10개
214,124,25,10g 1/10개
215,125,25,10g
216,117,25,20g
217,126,25,25g 2큰술
218,127,25,10g 2작은술
219,128,25,10g 2작은술
220,129,25,20g 1⅓큰술
221,11,25,30g 1개
222,130,26,10g 3cm
223,33,26,10g 2cm
224,131,26,80g 1/4개
225,115,26,200g 1/3개
226,19,26,10g
227,26,26,80g 1/3개
228,118,26,10g 10cm
229,54,26,20g 1⅓큰술
230,132,26,50g 1/4컵
231,123,26,140g 1½개
232,133,26,10g 2작은술
233,134,27,70g 1½개
234,135,27,60g 3개
235,65,27,70g 1/2개
236,136,27,25g
237,26,27,60g 1/3개
238,12,27,10g 2개
239,88,27,600g 3개
240,5,27,10g 2작은술
241,137,27,50g
242,138,27,15g 1큰술
243,18,27,40g 1/5개
244,139,28,40g
245,140,28,5g 1작은술
246,79,28,껍질 40g 1/5개
247,103,28,10g 1개
248,61,28,60g 4큰술
249,5,28,6g 1작은술
250,92,28,20g 1⅓큰술
251,65,29,100g 1개
252,88,29,200g 1½개
253,141,29,20g
254,12,29,10g 2개
255,142,29,5g 1작은술
256,127,29,60g 4큰술
257,93,29,2g 1/2작은술
258,142,29,25g 2큰술
259,101,30,50g
260,143,30,5장
261,19,30,30g
262,144,30,100g
263,46,30,20g
264,30,30,2개
265,18,30,50g
266,134,30,1/2개
267,145,30,100g
268,34,30,30g
269,146,31,100g
270,101,31,100g
271,147,31,3알
272,18,31,30g
273,12,31,20g
274,131,31,1/4개
275,134,31,1/2개
276,148,31,1/4개
277,149,31,50g
278,150,31,1뿌리
279,151,31,5개
280,152,31,5장
281,92,31,20g
282,5,31,20g
283,54,31,0.2g
284,93,31,0.01g
285,36,31,50g
286,153,32,1마리
287,154,32,10g
288,11,32,20g
289,40,32,10g
290,155,32,20g
291,85,32,100g
292,140,32,30g
293,156,32,10g
294,12,32,20g
295,54,32,0.3g
296,64,32,0.01g
297,18,32,50g
298,24,32,50g
299,157,32,10g
300,47,32,20g
301,5,32,20g
302,158,33,5장
303,153,33,120g
304,64,33,0.01g
305,159,33,100g
306,147,33,3알
307,117,33,20g
308,150,33,1뿌리
309,54,33,0.2g
310,160,34,100g
311,161,34,100g
312,162,34,20g
313,163,34,20g
314,36,34,50g
315,34,34,10g
316,164,34,10g
317,30,34,1개
318,12,34,10g
319,15,34,5g
320,165,35,150g
321,166,35,1개
322,167,35,50g
323,18,35,30g
324,168,35,5g
325,53,35,20g
326,165,36,150g
327,64,36,0.5g
328,169,36,2g
329,79,36,1개
330,59,36,1개
331,168,36,5g
332,25,36,50g
333,142,36,20g
334,129,36,20g
335,170,37,2개
336,29,37,3마리
337,7,37,30g
338,171,37,20g
339,92,37,20g
340,172,37,1/4개
341,5,37,20g
342,54,37,0.1g
343,12,37,10g
344,173,37,10g
345,174,37,60g
346,86,38,200g
347,175,38,120g
348,24,38,30g
349,17,38,1개
350,25,38,20g
351,84,38,10g
352,16,38,5g
353,176,39,100g
354,177,39,20g
355,178,39,20g
356,88,39,100g
357,166,39,1개
358,179,39,10g
359,92,39,20g
360,47,39,10g
361,5,39,20g
362,157,39,10g
363,180,40,60g
364,134,40,30g
365,117,40,20g
366,35,40,3g
367,36,40,60g
368,15,40,20g
369,181,40,10g
370,3,40,50g
371,33,40,40g
372,11,40,5g
373,18,40,10g
374,182,40,3g
375,39,40,10g
376,183,40,10g
377,22,40,300g
378,102,40,120g
379,40,40,5g
380,12,40,10g
381,32,41,30g
382,102,41,50g
383,182,41,15g
384,101,41,120g
385,120,41,5g
386,12,41,5g
387,184,41,50g
388,36,41,40g
389,11,41,10g
390,182,42,10g
391,185,42,100g
392,186,42,100g
393,64,42,0.2g
394,12,42,10g
395,92,42,2g
396,15,42,8g
397,187,43,100g
398,36,43,50g
399,188,43,20g
400,182,43,4g
401,32,43,20g
402,102,43,140g
403,189,43,20g
404,40,43,5g
405,11,43,20g
406,39,43,10g
407,22,43,300g
408,190,43,5g
409,191,43,30g
410,15,43,10g
411,33,43,50g
412,192,44,40g
413,102,44,40g
414,33,44,10g
415,12,44,3g
416,11,44,3g
417,18,44,10g
418,36,44,10g
419,15,44,3g
420,193,44,10g
421,188,44,3g
422,39,44,10g
423,22,44,300g
424,40,44,5g
425,181,45,10g
426,36,45,50g
427,32,45,10g
428,117,45,20g
429,101,45,50g
430,194,45,10g
431,195,45,30g
432,18,45,30g
433,11,45,20g
434,196,45,5g
435,95,45,10g
436,93,45,0.1g
437,54,45,0.1g
438,115,45,40g
439,12,45,5g
440,197,45,2g
441,33,45,30g
442,40,45,3g
443,184,45,50g
444,198,46,30g
445,58,46,100g
446,85,46,50g
447,18,46,30g
448,181,46,25g
449,188,46,30g
450,35,46,5g
451,182,46,5g
452,38,46,30g
453,36,46,40g
454,134,46,30g
455,199,46,3g
456,189,46,10g
457,95,46,5g
458,12,46,5g
459,93,46,1g
460,126,46,10g
461,3,46,20g
462,40,46,5g
463,30,46,10g
464,190,46,15g
465,54,46,1g
466,101,46,20g
467,200,46,300g
468,33,46,30g
469,180,47,100g
470,46,47,20g
471,182,47,6g
472,11,47,6g
473,189,47,4g
474,30,47,14g
475,102,47,40g
476,188,47,40g
477,90,47,40g
478,201,47,40g
479,147,47,20g
480,202,47,30g
481,203,47,20g
482,13,47,20g
483,204,47,5g
484,205,47,5g
485,12,47,3g
486,182,47,6g
487,134,47,60g
488,157,47,5g
489,206,47,10g
490,194,47,21g
491,198,48,30g
492,134,48,20g
493,36,48,20g
494,188,48,20g
495,35,48,5g
496,102,48,30g
497,189,48,4g
498,22,48,200g
499,13,48,4g
500,12,48,2g
501,138,48,2g
502,40,48,5g
503,5,48,0.5g
504,207,49,40g
505,39,49,2g
506,30,49,10g
507,181,49,40g
508,33,49,20g
509,117,49,10g
510,11,49,3g
511,182,49,2g
