instruction_id,recipe_id,instruction_image,instruction
1,1,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_1.png,1. 손질된 새우를 끓는 물에 데쳐 건진다.
2,1,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_2.png,"2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다."
3,1,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_3.png,3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.
1,2,http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054820_1675673300714.jpg,"1. 부추는 깨끗이 씻어 물기를 제거하고, 5cm 길이로 썰고 부추에 날콩가루를 넣고 고루 섞이도록 버무린다."
2,2,http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054834_1675673314720.jpg,2. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 파랗게 익힌다.
3,2,http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054908_1675673348152.jpg,"3. 저염간장에 다진 대파, 다진 마늘, 고춧가루, 요리당 , 참기름, 참깨를 섞어 양념장을 만들고 찐 부추는 그릇에 담아낸다."
1,3,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_1.png,1. 물기를 빼고 2cm 정도의 크기로 썰은 부추와 양파를 양념장에 섞어 양념속을 만든다.
2,3,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_4.png,2. 깨끗이 씻은 방울토마토는 꼭지를 떼고 윗부분에 칼로 십자모양으로 칼집을 낸다.
3,3,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_5.png,3. 칼집을 낸 방울토마토에 양념속을 사이사이에 넣어 버무린다.
1,4,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_1.png,"1. 사과, 순두부를 믹서에 넣고 곱게 갈아 소스를 만든다."
2,4,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_2.png,2. 오이는 소금으로 문질러 씻어 반을 갈라 씨를 제거하고 어슷썰기를 한다.
