user_id,ingredient_id
1,3
1,16
2,25
3,29
4,58
5,77
6,96
6,101
7,126
8,146
9,153
10,170
11,187
12,207
13,341
14,419
15,478
16,505
17,540
18,597
19,598
20,700
21,775
22,983
23,1204
24,3
35,16
36,25
37,29
38,58
39,77
40,96
41,101
42,126
43,146
44,153
45,170
46,187
47,207
48,341
49,419
50,478
51,505
52,540
53,597
54,598
55,700
56,775
57,983
58,1204
59,3
60,16
61,25
62,29
63,58
64,77
65,96
66,101
67,126
68,146
69,153
70,170
71,187
72,207
73,341
74,419
75,478
76,505
77,540
85,597
86,598
87,700
88,775
89,983
90,1204
91,3
92,16
93,25
94,29
95,58
96,77
97,96
98,101
99,126
100,146
101,153
102,170
103,187
104,207
105,341
106,419
107,478
108,505
109,540
110,597
111,598
112,700
113,775
114,983
115,1204
116,3
117,16
118,25
119,29
120,58
121,77
122,96
123,101
124,126
125,146
126,153
127,170
128,187
139,207
140,341
141,419
142,478
143,505
144,540
145,597
